filename,status,issues,width,height,mode,file_size_bytes,brightness_mean,contrast
2766.png,OK,nenhum,3385,1793,L,515022,234.04,54.1
2767.png,OK,nenhum,3385,1793,L,601897,232.47,56.29
2768.png,OK,nenhum,3385,1793,L,495517,234.37,53.58
2769.png,OK,nenhum,3385,1793,L,561908,233.64,54.65
2770.png,OK,nenhum,3385,1793,L,477482,234.49,53.44
2771.png,OK,nenhum,3385,1793,L,477482,234.49,53.44
2772.png,OK,nenhum,3385,1793,L,513143,234.12,53.99
2773.png,OK,nenhum,3385,1793,L,513143,234.12,53.99
2774.png,OK,nenhum,3385,1793,L,497743,234.14,53.91
2775.png,OK,nenhum,3385,1793,L,497743,234.14,53.91
2776.png,OK,nenhum,3385,1793,L,495670,234.19,53.87
2777.png,OK,nenhum,3385,1793,L,495670,234.19,53.87
2778.png,OK,nenhum,3385,1793,L,449875,234.8,52.98
2779.png,OK,nenhum,3385,1793,L,501294,234.28,53.72
2780.png,OK,nenhum,3385,1793,L,465521,235.03,52.66
2781.png,OK,nenhum,3385,1793,L,508131,234.08,54.01
2782.png,OK,nenhum,3385,1793,L,533467,233.94,54.22
2783.png,OK,nenhum,3385,1793,L,540238,233.98,54.16
2784.png,OK,nenhum,3385,1793,L,539061,233.9,54.21
2785.png,OK,nenhum,3385,1793,L,539061,233.9,54.21
2786.png,OK,nenhum,3385,1793,L,480939,234.62,53.24
2787.png,OK,nenhum,3385,1793,L,495726,234.41,53.56
2788.png,OK,nenhum,3385,1793,L,470033,234.62,53.23
2789.png,OK,nenhum,3385,1793,L,555136,233.73,54.58
2790.png,OK,nenhum,3385,1793,L,645814,231.56,57.95
2791.png,OK,nenhum,3385,1793,L,591224,233.5,54.84
2792.png,OK,nenhum,3385,1793,L,617838,232.9,55.69
2793.png,OK,nenhum,3385,1793,L,513883,234.21,53.83
2794.png,OK,nenhum,3385,1793,L,586400,233.07,55.47
2795.png,OK,nenhum,3385,1793,L,586400,233.07,55.47
2796.png,OK,nenhum,3385,1793,L,527110,234.03,54.06
2797.png,OK,nenhum,3385,1793,L,515253,234.36,53.64
2798.png,OK,nenhum,3385,1793,L,599023,233.04,55.58
2799.png,OK,nenhum,3385,1793,L,518809,233.76,54.46
2800.png,OK,nenhum,3385,1793,L,545723,233.99,54.14
2801.png,OK,nenhum,3385,1793,L,464123,234.99,52.67
2802.png,OK,nenhum,3385,1793,L,480142,234.67,53.16
2803.png,OK,nenhum,3385,1793,L,495135,234.48,53.46
2804.png,OK,nenhum,3385,1793,L,483705,234.58,53.3
2805.png,OK,nenhum,3385,1793,L,483705,234.58,53.3
2806.png,OK,nenhum,3385,1793,L,554583,233.43,54.95
2807.png,OK,nenhum,3385,1793,L,534391,233.96,54.16
2808.png,OK,nenhum,3385,1793,L,513941,234.16,53.97
2809.png,OK,nenhum,3385,1793,L,450899,234.95,52.75
2810.png,OK,nenhum,3385,1793,L,450899,234.95,52.75
2811.png,OK,nenhum,3385,1793,L,514552,234.07,54.02
2812.png,OK,nenhum,3385,1793,L,576100,233.07,55.4
2813.png,OK,nenhum,3385,1793,L,465468,234.93,52.76
2814.png,OK,nenhum,3385,1793,L,465468,234.93,52.76
2815.png,OK,nenhum,3385,1793,L,465468,234.93,52.76
2816.png,OK,nenhum,3385,1793,L,538074,234.12,53.9
2817.png,OK,nenhum,3385,1793,L,503533,234.51,53.39
2818.png,OK,nenhum,3385,1793,L,580497,233.78,54.43
2819.png,OK,nenhum,3385,1793,L,479285,234.82,52.94
2820.png,OK,nenhum,3385,1793,L,479285,234.82,52.94
2821.png,OK,nenhum,3385,1793,L,434573,235.1,52.56
2822.png,OK,nenhum,3385,1793,L,500599,234.23,53.84
2823.png,OK,nenhum,3385,1793,L,492301,234.1,54.09
2824.png,OK,nenhum,3385,1793,L,485847,234.46,53.5
2825.png,OK,nenhum,3385,1793,L,492366,234.27,53.77
2826.png,OK,nenhum,3385,1793,L,557050,232.88,55.82
2827.png,OK,nenhum,3385,1793,L,544668,233.36,55.08
2828.png,OK,nenhum,3385,1793,L,552667,233.45,54.92
2829.png,OK,nenhum,3385,1793,L,552667,233.45,54.92
2830.png,OK,nenhum,3385,1793,L,646624,231.36,57.92
2831.png,OK,nenhum,3385,1793,L,539772,233.72,54.49
2832.png,OK,nenhum,3385,1793,L,614312,231.83,57.61
2833.png,OK,nenhum,3385,1793,L,572136,233.39,54.95
2834.png,OK,nenhum,3385,1793,L,572136,233.39,54.95
2835.png,OK,nenhum,3385,1793,L,522038,234.07,54.04
